,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
1586,177.0,성산일출봉,2,20,2023-11-16,13.291666666666666,17,10,72,4,2023-11-16 00:00:00,November,3,fall,,,497.14075
4116,458.0,함덕해수욕장,8,75,2023-11-17,10.833333333333334,12,10,60,4,2023-11-17 00:00:00,November,4,fall,,,463.66388
4175,464.0,협재해수욕장,10,98,2023-11-23,13.5,15,12,40,4,2023-11-23 00:00:00,November,3,fall,,,450.47064
4113,458.0,함덕해수욕장,8,72,2023-11-14,12.153846153846152,13,11,30,4,2023-11-14 00:00:00,November,1,fall,,,447.39175
4167,464.0,협재해수욕장,10,90,2023-11-14,12.153846153846152,13,11,30,4,2023-11-14 00:00:00,November,1,fall,,,432.76047
4168,464.0,협재해수욕장,10,91,2023-11-15,11.708333333333334,15,9,30,4,2023-11-15 00:00:00,November,2,fall,,,422.89496
1544,172.0,섭지코지,2,23,2023-11-19,13.0,18,8,20,1,2023-11-19 00:00:00,November,6,fall,,,420.2984
2043,228.0,아르떼뮤지엄제주,7,63,2023-11-14,11.76923076923077,13,10,30,4,2023-11-14 00:00:00,November,1,fall,,,414.70755
4170,464.0,협재해수욕장,10,93,2023-11-17,10.875,12,10,60,4,2023-11-17 00:00:00,November,4,fall,,,412.1682
4169,464.0,협재해수욕장,10,92,2023-11-16,12.625,18,9,68,4,2023-11-16 00:00:00,November,3,fall,,,409.6868
3992,444.0,한라산둘레길사려니숲길,8,77,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,401.01706
2678,298.0,이호테우해변,11,104,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,395.55823
1546,172.0,섭지코지,2,25,2023-11-22,14.0,18,10,20,1,2023-11-22 00:00:00,November,2,fall,,,388.87024
1193,133.0,산굼부리,8,77,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,386.0303
1545,172.0,섭지코지,2,24,2023-11-20,12.5,16,9,10,1,2023-11-20 00:00:00,November,0,fall,,,384.85202
1543,172.0,섭지코지,2,22,2023-11-18,10.5,14,7,40,1,2023-11-18 00:00:00,November,5,fall,,,384.5235
3991,444.0,한라산둘레길사려니숲길,8,76,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,384.21167
2299,256.0,오설록티뮤지엄,3,31,2023-11-18,11.5,14,9,40,1,2023-11-18 00:00:00,November,5,fall,,,381.9513
2046,228.0,아르떼뮤지엄제주,7,66,2023-11-17,10.5,12,10,60,4,2023-11-17 00:00:00,November,4,fall,,,379.70657
2300,256.0,오설록티뮤지엄,3,32,2023-11-19,15.0,18,12,20,1,2023-11-19 00:00:00,November,6,fall,,,376.97403
3993,444.0,한라산둘레길사려니숲길,8,78,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,370.29974
1540,172.0,섭지코지,2,19,2023-11-15,12.625,15,11,20,4,2023-11-15 00:00:00,November,2,fall,,,369.18124
2045,228.0,아르떼뮤지엄제주,7,65,2023-11-16,12.5,17,10,73,4,2023-11-16 00:00:00,November,3,fall,,,368.05008
2301,256.0,오설록티뮤지엄,3,33,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,361.74207
2051,228.0,아르떼뮤지엄제주,7,71,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,361.21396
2679,298.0,이호테우해변,11,105,2023-11-20,13.5,16,11,10,1,2023-11-20 00:00:00,November,0,fall,,,360.65863
2680,298.0,이호테우해변,11,106,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,360.30286
2295,256.0,오설록티뮤지엄,3,27,2023-11-14,12.23076923076923,14,11,30,4,2023-11-14 00:00:00,November,1,fall,,,359.62546
2302,256.0,오설록티뮤지엄,3,34,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,355.76013
2296,256.0,오설록티뮤지엄,3,28,2023-11-15,12.541666666666666,16,10,30,4,2023-11-15 00:00:00,November,2,fall,,,354.6317
2044,228.0,아르떼뮤지엄제주,7,64,2023-11-15,11.791666666666666,15,9,30,4,2023-11-15 00:00:00,November,2,fall,,,354.10635
1547,172.0,섭지코지,2,26,2023-11-23,13.0,16,10,40,4,2023-11-23 00:00:00,November,3,fall,,,353.36896
3994,444.0,한라산둘레길사려니숲길,8,79,2023-11-22,14.0,17,11,20,1,2023-11-22 00:00:00,November,2,fall,,,353.1063
2298,256.0,오설록티뮤지엄,3,30,2023-11-17,10.75,12,10,60,4,2023-11-17 00:00:00,November,4,fall,,,352.89124
1541,172.0,섭지코지,2,20,2023-11-16,13.291666666666666,17,10,72,4,2023-11-16 00:00:00,November,3,fall,,,352.00253
1542,172.0,섭지코지,2,21,2023-11-17,11.083333333333334,12,10,60,4,2023-11-17 00:00:00,November,4,fall,,,349.1032
1539,172.0,섭지코지,2,18,2023-11-14,12.0,13,11,30,4,2023-11-14 00:00:00,November,1,fall,,,349.0113
3988,444.0,한라산둘레길사려니숲길,8,73,2023-11-15,12.5,15,11,20,4,2023-11-15 00:00:00,November,2,fall,,,345.68854
3987,444.0,한라산둘레길사려니숲길,8,72,2023-11-14,12.153846153846152,13,11,30,4,2023-11-14 00:00:00,November,1,fall,,,344.51648
3995,444.0,한라산둘레길사려니숲길,8,80,2023-11-23,12.5,15,10,40,4,2023-11-23 00:00:00,November,3,fall,,,344.01135
