title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
오설록티뮤지엄,3,256.0,2023-11-17,10.75,12,10,60,4,352.89124
섭지코지,2,172.0,2023-11-16,13.291666666666666,17,10,72,4,352.00253
섭지코지,2,172.0,2023-11-17,11.083333333333334,12,10,60,4,349.1032
섭지코지,2,172.0,2023-11-14,12.0,13,11,30,4,349.0113
한라산둘레길사려니숲길,8,444.0,2023-11-15,12.5,15,11,20,4,345.68854
한라산둘레길사려니숲길,8,444.0,2023-11-14,12.153846153846152,13,11,30,4,344.51648
한라산둘레길사려니숲길,8,444.0,2023-11-23,12.5,15,10,40,4,344.01135
산굼부리,8,133.0,2023-11-22,14.0,17,11,20,1,343.83752
이호테우해변,11,298.0,2023-11-15,13.125,16,11,20,4,342.87265
한라산둘레길사려니숲길,8,444.0,2023-11-17,10.833333333333334,12,10,60,4,341.46475
오설록티뮤지엄,3,256.0,2023-11-23,12.5,15,10,40,4,341.07516
이호테우해변,11,298.0,2023-11-18,11.5,14,9,40,1,338.35803
금오름,10,45.0,2023-11-19,15.0,18,12,20,1,337.28928
한라산둘레길사려니숲길,8,444.0,2023-11-16,13.0,16,11,72,4,333.92343
오설록티뮤지엄,3,256.0,2023-11-16,13.416666666666666,17,11,64,4,327.6194
곽지해수욕장,7,27.0,2023-11-19,15.0,18,12,20,1,324.2584
산굼부리,8,133.0,2023-11-20,13.5,16,11,10,1,324.20636
이호테우해변,11,298.0,2023-11-23,12.5,15,10,40,4,322.72827
비자림,6,124.0,2023-11-19,13.0,18,8,20,1,319.34534
아르떼뮤지엄제주,7,228.0,2023-11-19,15.0,18,12,20,1,314.23706
아르떼뮤지엄제주,7,228.0,2023-11-20,13.5,16,11,10,1,309.73593
산굼부리,8,133.0,2023-11-15,12.5,15,11,20,4,299.44528
비자림,6,124.0,2023-11-20,12.5,16,9,10,1,293.1952
카멜리아힐,3,407.0,2023-11-19,15.0,18,12,20,1,292.02875
비자림,6,124.0,2023-11-22,14.0,18,10,20,1,288.87653
카멜리아힐,3,407.0,2023-11-20,13.5,16,11,10,1,287.621
비자림,6,124.0,2023-11-23,13.0,16,10,40,4,286.61365
곽지해수욕장,7,27.0,2023-11-22,14.0,17,11,20,1,285.5565
곽지해수욕장,7,27.0,2023-11-20,13.5,16,11,10,1,284.6154
주상절리대,5,382.0,2023-11-19,15.0,18,12,20,1,282.94864
성산포종합여객터미널,2,180.0,2023-11-22,14.0,18,10,20,1,282.5071
성산포종합여객터미널,2,180.0,2023-11-19,13.0,18,8,20,1,282.0846
이호테우해변,11,298.0,2023-11-14,12.615384615384617,14,12,30,4,281.50522
비자림,6,124.0,2023-11-18,10.5,14,7,40,1,280.29282
카멜리아힐,3,407.0,2023-11-18,11.5,14,9,40,1,280.00604
금오름,10,45.0,2023-11-20,13.5,16,11,10,1,279.2532
금오름,10,45.0,2023-11-22,14.5,17,12,20,1,278.89743
산굼부리,8,133.0,2023-11-18,11.5,14,9,40,1,277.94666
카멜리아힐,3,407.0,2023-11-22,14.0,17,11,20,1,275.1717
산굼부리,8,133.0,2023-11-23,12.5,15,10,40,4,274.47055
곽지해수욕장,7,27.0,2023-11-18,11.5,14,9,40,1,273.44037
산굼부리,8,133.0,2023-11-16,13.0,16,11,72,4,273.10413
신창풍차해안도로,9,217.0,2023-11-19,15.0,18,12,20,1,271.72427
비자림,6,124.0,2023-11-15,11.541666666666666,15,9,20,4,265.4691
주상절리대,5,382.0,2023-11-20,13.5,16,11,10,1,261.80643
주상절리대,5,382.0,2023-11-22,14.0,17,11,20,1,261.45065
쇠소깍,5,199.0,2023-11-19,15.0,18,12,20,1,259.4396
이호테우해변,11,298.0,2023-11-17,10.833333333333334,12,9,60,4,258.57953
쇠소깍,5,199.0,2023-11-22,14.0,17,11,20,1,258.30734
비자림,6,124.0,2023-11-14,11.23076923076923,13,10,30,4,257.51166
카멜리아힐,3,407.0,2023-11-15,12.541666666666666,16,10,30,4,257.48676
